oracle_error_code,oracle_error_desc,date,hour,weekday
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,04,0
ORA-00942,table or view does not exist,2019-06-24,04,0
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,04,0
ORA-00942,table or view does not exist,2019-06-24,03,0
ORA-01775,looping chain of synonyms,2019-06-24,03,0
ORA-00001,unique constraint (DTV.PK_LOC_ORG_HIERARCHY) violated,2019-06-24,02,0
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,06,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,06,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,06,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,09,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,10,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,10,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,05,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,03,6
ORA-00942,table or view does not exist,2019-06-23,03,6
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-23,02,6
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-23,02,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-23,02,6
ORA-00001,unique constraint (DTV.PK_LOC_ORG_HIERARCHY) violated,2019-06-23,02,6
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,05,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,06,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,04,5
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,04,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-22,02,5
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-22,02,5
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-22,02,5
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,04,4
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,04,4
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,04,4
ORA-01033,ORACLE initialization or shutdown in progress,2019-06-21,03,4
ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-21,03,4
ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,03,4
